sample_accession	run_accession	sample_alias
SAMEA7003766	ERR4282968	70-12M
SAMEA7003767	ERR4282969	70-4M
SAMEA7003768	ERR4282970	70-5Y
SAMEA7003769	ERR4282971	70-NB
SAMEA7003770	ERR4282972	70-M
SAMEA7003771	ERR4282973	71-12M
SAMEA7003772	ERR4282974	7-12M
SAMEA7003773	ERR4282975	71-3Y
SAMEA7003774	ERR4282976	71-4M
SAMEA7003775	ERR4282977	71-5Y
SAMEA7003776	ERR4282978	71-M
SAMEA7003777	ERR4282979	72-12M
SAMEA7003778	ERR4282980	72-4M
SAMEA7003779	ERR4282981	7-3Y
SAMEA7003780	ERR4282982	7-5Y
SAMEA7003781	ERR4282983	78-12M
SAMEA7003782	ERR4282984	78-3Y
SAMEA7003783	ERR4282985	78-4M
SAMEA7003784	ERR4282986	78-5Y
SAMEA7003785	ERR4282987	78-NB
SAMEA7003786	ERR4282988	78-M
SAMEA7003787	ERR4282989	79-12M
SAMEA7003788	ERR4282990	79-4M
SAMEA7003789	ERR4282991	79-NB
SAMEA7003790	ERR4282992	79-M
SAMEA7003791	ERR4282993	7-NB
SAMEA7003792	ERR4282994	7-M
SAMEA7003793	ERR4282995	80-12M
SAMEA7003794	ERR4282996	80-3Y
SAMEA7003795	ERR4282997	80-5Y
SAMEA7003796	ERR4282998	80-M
SAMEA7003797	ERR4282999	81-12M
SAMEA7003798	ERR4283000	81-3Y
SAMEA7003799	ERR4283001	81-5Y
SAMEA7003800	ERR4283002	81-NB
SAMEA7003801	ERR4283003	81-M
SAMEA7003802	ERR4283004	82-12M
SAMEA7003803	ERR4283005	82-3Y
SAMEA7003804	ERR4283006	82-4M
SAMEA7003805	ERR4283007	82-5Y
SAMEA7003806	ERR4283008	82-NB
SAMEA7003807	ERR4283009	82-M
SAMEA7003808	ERR4283010	86-4M
SAMEA7003809	ERR4283011	87-12M
SAMEA7003810	ERR4283012	87-4M
SAMEA7003811	ERR4283013	87-NB
SAMEA7003812	ERR4283014	87-M
SAMEA7003813	ERR4283015	88-M
SAMEA7003814	ERR4283016	89-12M
SAMEA7003815	ERR4283017	89-3Y
SAMEA7003816	ERR4283018	89-4M
SAMEA7003817	ERR4283019	89-5Y
SAMEA7003818	ERR4283020	89-NB
SAMEA7003819	ERR4283021	89-M
SAMEA7003820	ERR4283022	90-12M
SAMEA7003821	ERR4283023	90-3Y
SAMEA7003822	ERR4283024	90-4M
SAMEA7003823	ERR4283025	90-5Y
SAMEA7003824	ERR4283026	90-NB
SAMEA7003825	ERR4283027	90-M
SAMEA7003826	ERR4283028	91-12M
SAMEA7003827	ERR4283029	9-12M
SAMEA7003828	ERR4283030	91-3Y
SAMEA7003829	ERR4283031	91-4M
SAMEA7003830	ERR4283032	91-5Y
SAMEA7003831	ERR4283033	91-M
SAMEA7003832	ERR4283034	92-12M
SAMEA7003833	ERR4283035	92-3Y
SAMEA7003834	ERR4283036	92-5Y
SAMEA7003835	ERR4283037	92-NB
SAMEA7003836	ERR4283038	92-M
SAMEA7003837	ERR4283039	9-3Y
SAMEA7003838	ERR4283040	96-12M
SAMEA7003839	ERR4283041	96-3Y
SAMEA7003840	ERR4283042	96-4M
SAMEA7003841	ERR4283043	96-5Y
SAMEA7003842	ERR4283044	96-NB
SAMEA7003843	ERR4283045	96-M
SAMEA7003844	ERR4283046	99-12M
SAMEA7003845	ERR4283047	99-3Y
SAMEA7003846	ERR4283048	99-5Y
SAMEA7003847	ERR4283049	99-M
SAMEA7003848	ERR4283050	9-NB
SAMEA7003849	ERR4283051	9-M
