sample_accession	run_accession	sample_alias
SAMEA7001104	ERR4281573	1192-5Y
SAMEA7001105	ERR4281574	1192-NB
SAMEA7001106	ERR4281575	1192-M
SAMEA7001107	ERR4281576	1193-12M
SAMEA7001108	ERR4281577	1193-3Y
SAMEA7001109	ERR4281578	1193-4M
SAMEA7001110	ERR4281579	119-3Y
SAMEA7001111	ERR4281580	1194-12M
SAMEA7001112	ERR4281581	1194-4M
SAMEA7001113	ERR4281582	1194-NB
SAMEA7001114	ERR4281583	119-4M
SAMEA7001115	ERR4281584	1194-M
SAMEA7001116	ERR4281585	1196-12M
SAMEA7001117	ERR4281586	1197-12M
SAMEA7001118	ERR4281587	1197-3Y
SAMEA7001119	ERR4281588	1197-4M
SAMEA7001120	ERR4281589	1197-5Y
SAMEA7001121	ERR4281590	1197-NB
SAMEA7001122	ERR4281591	1197-M
SAMEA7001123	ERR4281592	119-M
SAMEA7001124	ERR4281593	1201-12M
SAMEA7001125	ERR4281594	120-12M
SAMEA7001126	ERR4281595	1201-3Y
SAMEA7001127	ERR4281596	1201-4M
SAMEA7001128	ERR4281597	1201-5Y
SAMEA7001129	ERR4281598	1201-NB
SAMEA7001130	ERR4281599	1201-M
SAMEA7001131	ERR4281600	1203-12M
SAMEA7001132	ERR4281601	1203-4M
SAMEA7001133	ERR4281602	1203-NB
SAMEA7001134	ERR4281603	1203-M
SAMEA7001135	ERR4281604	120-3Y
SAMEA7001136	ERR4281605	1204-12M
SAMEA7001137	ERR4281606	1204-3Y
SAMEA7001138	ERR4281607	1204-4M
SAMEA7001139	ERR4281608	1204-5Y
SAMEA7001140	ERR4281609	1204-NB
SAMEA7001141	ERR4281610	120-4M
SAMEA7001142	ERR4281611	1204-M
SAMEA7001143	ERR4281612	120-5Y
SAMEA7001144	ERR4281613	1206-NB
SAMEA7001145	ERR4281614	1206-M
SAMEA7001146	ERR4281615	1207-3Y
SAMEA7001147	ERR4281616	1207-4M
SAMEA7001148	ERR4281617	1207-5Y
SAMEA7001149	ERR4281618	1207-NB
SAMEA7001150	ERR4281619	1207-M
SAMEA7001151	ERR4281620	1208-M
SAMEA7001152	ERR4281621	120-M
SAMEA7001153	ERR4281622	1210-3Y
SAMEA7001154	ERR4281623	1210-4M
SAMEA7001155	ERR4281624	1210-NB
SAMEA7001156	ERR4281625	1210-M
SAMEA7001157	ERR4281626	12-12M
SAMEA7001158	ERR4281627	1214-3Y
SAMEA7001159	ERR4281628	1214-4M
SAMEA7001160	ERR4281629	1214-5Y
SAMEA7001161	ERR4281630	1214-NB
SAMEA7001162	ERR4281631	1214-M
SAMEA7001163	ERR4281632	1215-3Y
SAMEA7001164	ERR4281633	1215-4M
SAMEA7001165	ERR4281634	1215-5Y
SAMEA7001166	ERR4281635	1215-NB
SAMEA7001167	ERR4281636	1215-M
SAMEA7001168	ERR4281637	1216-3Y
SAMEA7001169	ERR4281638	1216-4M
SAMEA7001170	ERR4281639	1216-NB
SAMEA7001171	ERR4281640	1216-M
SAMEA7001172	ERR4281641	1218-12M
SAMEA7001173	ERR4281642	1218-NB
SAMEA7001174	ERR4281643	1218-M
SAMEA7001175	ERR4281644	1219-3Y
SAMEA7001176	ERR4281645	1219-4M
SAMEA7001177	ERR4281646	1219-5Y
SAMEA7001178	ERR4281647	1219-NB
