,root:12M,root:3Y,root:4M,root:5Y,root:B,root:M
ERR4282715,0.07999863,0.25068873,0.017248861,0.51104385,0.01660362,0.124416284
ERR4282716,0.5652043,0.07356839,0.2803255,0.017876245,0.015308805,0.047716845
ERR4282717,0.0708831,0.22634178,0.02591736,0.35287952,0.040294148,0.28368413
ERR4282718,0.08296134,0.28739637,0.02720085,0.3545735,0.02592188,0.22194605
ERR4282719,0.06636082,0.18042414,0.013845811,0.6055495,0.01924714,0.11457258
ERR4282720,0.060462642,0.02552078,0.85654545,0.0074437833,0.03225729,0.017769983
ERR4282721,0.07296646,0.23407573,0.019705173,0.5054037,0.020693935,0.147155
ERR4282722,0.004548732,0.012237003,0.019689625,0.016587451,0.91291434,0.03402289
ERR4282723,0.060929,0.112051986,0.013574214,0.13030685,0.09665304,0.5864849
ERR4282724,0.40637437,0.06353435,0.42520493,0.020310275,0.03051908,0.054056913
ERR4282725,0.08849292,0.03206842,0.8024651,0.010051223,0.044253107,0.022669282
ERR4282726,0.00455437,0.012231215,0.019740857,0.016564764,0.91286504,0.034043714
ERR4282727,0.6555283,0.105042204,0.08269464,0.045934323,0.012828997,0.09797159
ERR4282728,0.5814762,0.14998955,0.09420082,0.05507472,0.010913138,0.108345546
ERR4282729,0.0990195,0.08659867,0.584239,0.033549692,0.11959792,0.07699523
ERR4282730,0.10971412,0.3999979,0.028254185,0.2531219,0.012275671,0.19663617
ERR4282731,0.6954785,0.075386345,0.121257715,0.02467779,0.009011179,0.074188404
ERR4282732,0.5793172,0.15273179,0.10060818,0.043734737,0.009057772,0.1145503
ERR4282733,0.075792104,0.3014797,0.029409619,0.39162838,0.022073116,0.17961718
ERR4282734,0.16797896,0.046478454,0.70609033,0.013581205,0.031560495,0.034310468
ERR4282735,0.63577163,0.0071096816,0.035831455,0.017668856,0.27343318,0.030185228
ERR4282736,0.7045773,0.04559239,0.073417746,0.029694324,0.045913264,0.100804955
ERR4282737,0.2179412,0.20167923,0.08114973,0.081500255,0.021633625,0.396096
ERR4282738,0.049144186,0.009117901,0.8984053,0.0035365578,0.026732394,0.013063625
ERR4282739,0.039609637,0.0047408924,0.47224605,0.0025026647,0.4728899,0.008010944
ERR4282740,0.11896042,0.46026623,0.023508878,0.24722563,0.009274753,0.14076404
ERR4282741,0.07280163,0.19193439,0.014764795,0.5319897,0.033915143,0.15459432
ERR4282746,0.06960225,0.14997907,0.014225423,0.3540272,0.070604436,0.34156165
ERR4282747,0.066032924,0.1796742,0.013690244,0.6097625,0.01905152,0.11178868
ERR4282748,0.17559308,0.24293654,0.1500221,0.08714304,0.03809936,0.30620587
ERR4282749,0.08099681,0.038057845,0.795277,0.012621623,0.043143086,0.02990367
ERR4282750,0.09653557,0.064873755,0.13086708,0.08754993,0.54464537,0.075528264
ERR4282751,0.0888809,0.2598946,0.02545671,0.17309366,0.019821554,0.43285257
ERR4282752,0.30083546,0.25576404,0.08630244,0.09713121,0.019011807,0.240955
ERR4282753,0.089708745,0.02529941,0.8094225,0.009799086,0.040399466,0.02537065
ERR4282754,0.701503,0.0676111,0.1489753,0.020337293,0.008719965,0.052853324
ERR4282755,0.071510725,0.28464264,0.02770663,0.44102976,0.023230199,0.15188015
ERR4282756,0.7026545,0.051969603,0.07585695,0.03288761,0.038483437,0.0981479
ERR4282757,0.06943733,0.22847351,0.018819485,0.54078835,0.020516718,0.121964544
ERR4282758,0.006476218,0.012731529,0.03484037,0.016363759,0.896277,0.033311147
ERR4282759,0.035565667,0.05689154,0.008068022,0.08241935,0.11006674,0.70698875
ERR4282760,0.40495676,0.08430165,0.36348727,0.030886235,0.018646898,0.097721264
ERR4282761,0.050849758,0.011433223,0.8909572,0.004228175,0.028398024,0.014133605
ERR4282762,0.0633352,0.117490634,0.009745811,0.39590517,0.13281733,0.28070593
ERR4282763,0.062353946,0.12526755,0.014068184,0.25655037,0.058988664,0.48277137
ERR4282764,0.28330418,0.058858085,0.5700728,0.017067488,0.023479706,0.04721765
ERR4282765,0.023254495,0.024061449,0.8087861,0.0099810045,0.11897646,0.014940535
ERR4282766,0.004545677,0.012233625,0.019699913,0.016583182,0.9129461,0.03399145
