,root:12M:C,root:12M:V,root:3Y:C,root:3Y:V,root:4M:C,root:4M:V,root:5Y:C,root:5Y:V,root:B:C,root:B:V
ERR4281858,0.32318926,0.06380102,0.10787777,0.016648328,0.21593496,0.0538275,0.014774991,0.04235292,0.1321764,0.029416846
ERR4281859,0.10705082,0.16764852,0.101317234,0.18050659,0.021129318,0.012937563,0.23682204,0.14176679,0.014939205,0.015882043
ERR4281860,0.52203864,0.12607251,0.012321857,0.072255455,0.13428,0.03125313,0.03981675,0.011916185,0.023947477,0.026098043
ERR4281861,0.31396684,0.16611189,0.17605734,0.024547504,0.12169927,0.038497996,0.036532667,0.062962346,0.037015278,0.022608867
ERR4281862,0.042065706,0.08017553,0.01111015,0.044950817,0.14122164,0.5180641,0.033048715,0.016235562,0.0478233,0.06530452
ERR4281863,0.29746187,0.053448487,0.068545766,0.013220278,0.26388207,0.07322016,0.012031932,0.033256065,0.15590635,0.029027017
ERR4281864,0.052763056,0.08425478,0.1541233,0.22507562,0.018288814,0.03287902,0.14473473,0.25096366,0.016007982,0.02090905
ERR4281865,0.062867664,0.21870223,0.01533931,0.065517835,0.0695761,0.4580158,0.032017305,0.029236665,0.017834041,0.030893078
ERR4281866,0.15707241,0.38509995,0.08634228,0.120911814,0.030298611,0.016566908,0.12067244,0.04923296,0.016046489,0.017756173
ERR4281867,0.10973987,0.018992402,0.01957888,0.00787601,0.39886668,0.13636726,0.014031021,0.014167809,0.22097838,0.059401695
ERR4281868,0.108334914,0.21504387,0.3288339,0.03788656,0.066586375,0.012741876,0.13110775,0.04081592,0.033886414,0.0247624
ERR4281869,0.027223527,0.023719722,0.007180724,0.03242728,0.16783382,0.60290295,0.022687286,0.014492115,0.046007838,0.055524703
ERR4281870,0.040596295,0.1268577,0.17995623,0.075927995,0.111756414,0.1521805,0.18288939,0.0343731,0.015760513,0.07970188
ERR4281871,0.10253634,0.11785705,0.11990614,0.057516553,0.21833393,0.1113082,0.051828474,0.014487355,0.08686956,0.11935643
ERR4281872,0.29330352,0.04581353,0.013493834,0.016066426,0.28924587,0.17022946,0.021192148,0.018454932,0.057553064,0.07464714
ERR4281873,0.14488754,0.07289212,0.06344608,0.09418386,0.030797457,0.009168017,0.38389543,0.1649025,0.012560264,0.023266708
ERR4281874,0.026971737,0.018526994,0.03284056,0.049341477,0.069729894,0.056485444,0.49023074,0.21188082,0.013017264,0.030975064
ERR4281875,0.09385991,0.28257596,0.018464109,0.0821259,0.0664677,0.35188848,0.026202293,0.02924266,0.022472097,0.026700962
ERR4281876,0.07958756,0.1021988,0.0757497,0.23473404,0.01741177,0.016844139,0.22507204,0.22216825,0.012601656,0.013632027
ERR4281877,0.041461643,0.061742038,0.06015234,0.24430199,0.018313508,0.06422123,0.2119248,0.26713583,0.00590537,0.024841249
ERR4281878,0.1567781,0.4355986,0.04159387,0.12806636,0.033474553,0.09179405,0.03843774,0.040584464,0.011596587,0.02207562
ERR4281879,0.02754174,0.014233539,0.065188386,0.032666884,0.0846246,0.031963207,0.48508495,0.20209268,0.02862345,0.027980642
ERR4281880,0.09997012,0.0971489,0.3142999,0.03384362,0.11320544,0.020866817,0.032077864,0.016659418,0.21751998,0.054408006
ERR4281881,0.02432176,0.020090047,0.054840855,0.089458406,0.070080504,0.08925899,0.40659872,0.18985072,0.015108912,0.04039121
ERR4281882,0.34196848,0.26506793,0.047720566,0.031245783,0.103485934,0.062280525,0.050415773,0.0479942,0.024291992,0.02552883
ERR4281883,0.041095823,0.068206206,0.3640126,0.06866549,0.055280622,0.022933729,0.21366382,0.10259935,0.037215337,0.026326997
ERR4281884,0.03489638,0.34891388,0.030480545,0.014200173,0.09129791,0.26017603,0.04208753,0.011823343,0.0437266,0.12239751
ERR4281885,0.061744858,0.09715815,0.023842543,0.24487236,0.023787625,0.20153196,0.08218131,0.09168797,0.014053632,0.15913966
ERR4281886,0.17702396,0.13763583,0.08350664,0.02328493,0.24273452,0.1843972,0.025356214,0.028910547,0.06467786,0.032472238
ERR4281887,0.030320443,0.059869453,0.008455156,0.11490289,0.011164745,0.33670735,0.34045583,0.05701064,0.0046589524,0.03645455
ERR4281888,0.39560312,0.058545414,0.14634311,0.017346576,0.14879858,0.024991665,0.011580862,0.044641625,0.1268029,0.02534623
ERR4281889,0.10898409,0.19862854,0.2859544,0.058276612,0.11404923,0.07686719,0.06222588,0.033322625,0.020771498,0.040919937
ERR4281890,0.11074203,0.18387589,0.07288091,0.028755773,0.19929673,0.19050626,0.07131623,0.030959826,0.05726757,0.054398872
ERR4281891,0.11919102,0.0717354,0.22205928,0.079758905,0.1343534,0.03557234,0.08148197,0.038218,0.096736684,0.12089304
ERR4281892,0.08825838,0.08285808,0.123491,0.08706868,0.02702035,0.019532258,0.32592112,0.20696546,0.011114814,0.027769834
ERR4281893,0.039469223,0.039490044,0.041525014,0.026150376,0.33507127,0.20677845,0.047202066,0.008258916,0.11945787,0.13659677
ERR4281894,0.030054113,0.060033705,0.0470878,0.023926107,0.18590382,0.21007526,0.014665798,0.013708663,0.1319926,0.28255212
ERR4281895,0.08129755,0.027082693,0.022630302,0.008370011,0.40980774,0.2241992,0.021243636,0.01677803,0.13928029,0.0493105
ERR4281896,0.040310718,0.053410694,0.09264189,0.033605475,0.2580212,0.11032049,0.07064515,0.011373721,0.18102306,0.14864759
ERR4281897,0.16913828,0.21240637,0.16619466,0.0643959,0.121117115,0.11546008,0.041701376,0.040894985,0.0261376,0.042553652
ERR4281898,0.067563504,0.14480966,0.24194199,0.08740893,0.10263515,0.091730714,0.13528188,0.048264835,0.01963503,0.060728353
ERR4281899,0.09653011,0.1935445,0.011349835,0.046096288,0.08192419,0.4528104,0.028925385,0.033923093,0.023214571,0.031681605
ERR4281900,0.08139048,0.19676696,0.31102833,0.102442585,0.066520885,0.05138173,0.07879754,0.052762374,0.02515577,0.033753276
ERR4281901,0.026178448,0.033173062,0.020012293,0.027029928,0.17429803,0.535443,0.03300204,0.02097892,0.058212373,0.07167189
ERR4281902,0.1421711,0.06420859,0.13241366,0.15190186,0.09695097,0.048794653,0.099691994,0.09557225,0.067300156,0.10099482
ERR4281903,0.12563737,0.14139286,0.4468384,0.05689828,0.054785155,0.014391451,0.038507186,0.034230407,0.05355247,0.03376642
ERR4281904,0.0522769,0.09444307,0.02900191,0.17203891,0.016063001,0.12018447,0.2614032,0.18454592,0.0047319154,0.065310754
ERR4281905,0.060340255,0.25574082,0.030148739,0.08861904,0.04661174,0.2705978,0.1522029,0.03918166,0.009531593,0.04702546
ERR4281906,0.024865601,0.01779582,0.049474306,0.11791924,0.0494702,0.098113745,0.2940368,0.2909847,0.016578956,0.04076056
ERR4281907,0.064136565,0.048900925,0.06299945,0.0890814,0.1763193,0.13059512,0.09215849,0.03959337,0.15093158,0.14528379
ERR4281908,0.037946105,0.016976226,0.06151304,0.1775445,0.025128998,0.04213599,0.13121462,0.4583493,0.016417084,0.032774176
ERR4281909,0.23522265,0.3774698,0.03430167,0.04604609,0.06312024,0.13618037,0.026363077,0.03808726,0.020385018,0.022823889
ERR4281910,0.054074902,0.19425113,0.017093964,0.066874444,0.030801328,0.33340397,0.021256546,0.043045446,0.027029278,0.212169
ERR4281911,0.122606896,0.49221548,0.03535212,0.14695215,0.023638817,0.084216245,0.035054885,0.03223029,0.008854464,0.01887869
ERR4281912,0.07073193,0.047265965,0.030501265,0.53134054,0.009177909,0.0370212,0.05116121,0.19622554,0.006362862,0.02021156
ERR4281913,0.038857173,0.01867368,0.012581787,0.009570997,0.41121063,0.2908884,0.015743598,0.0074634016,0.11625273,0.07875762
ERR4281914,0.051252943,0.048473313,0.100513734,0.18608171,0.030904822,0.055330567,0.16741349,0.31807005,0.016037917,0.025921458
ERR4281915,0.022072537,0.061137524,0.034869064,0.030517416,0.15585431,0.27120584,0.015019502,0.013729714,0.12887505,0.26671907
ERR4281916,0.068681166,0.107860275,0.044147532,0.36076275,0.011189704,0.04650439,0.118454106,0.21951133,0.0058629066,0.017025873
ERR4281917,0.14526936,0.44911224,0.029951002,0.12422013,0.03188747,0.11895053,0.033550497,0.037104845,0.010161673,0.019792251
ERR4281918,0.047792222,0.035127506,0.10633355,0.16974026,0.01959027,0.0145480065,0.18366787,0.39482358,0.019166304,0.009210426
ERR4281919,0.0968096,0.016388368,0.014816362,0.007420453,0.43843517,0.17281565,0.014218365,0.014572774,0.16924018,0.055283085
ERR4281920,0.05748742,0.04278647,0.059846237,0.2904338,0.0128529435,0.028949214,0.10451598,0.37911034,0.010404438,0.013613152
ERR4281921,0.17687374,0.39353624,0.03757421,0.07345575,0.05554946,0.1475649,0.036480803,0.037594974,0.014792582,0.02657734
ERR4281922,0.10893516,0.0164756,0.031451866,0.005263709,0.2744936,0.050335154,0.011631785,0.01643785,0.44476953,0.040205754
ERR4281923,0.29741532,0.07104605,0.01054906,0.011817525,0.23036109,0.16680588,0.019064859,0.017062144,0.082527995,0.09335007
ERR4281924,0.12770732,0.20379688,0.03204708,0.22589096,0.03595861,0.13101438,0.07977785,0.12689121,0.010265773,0.026649937
ERR4281925,0.10892366,0.016477866,0.03144808,0.005263341,0.27449915,0.050348487,0.011629828,0.01643745,0.44475925,0.04021293
ERR4281926,0.146922,0.29455838,0.02608447,0.28468242,0.021626657,0.067967914,0.050008383,0.0803538,0.009571697,0.018224366
ERR4281927,0.157707,0.43488666,0.029598841,0.081994794,0.04377407,0.15246698,0.028301029,0.034036003,0.015425284,0.021809231
