Unnamed: 0,Env,Contribution,mode
ERR4281335,root:B,0.80396974,C
ERR4281340,root:B,0.4372406,C
ERR4281349,root:B,0.43550807,C
ERR4281354,root:B,0.45149836,C
ERR4281361,root:B,0.69791234,C
ERR4281367,root:B,0.8323747,C
ERR4281374,root:B,0.69965285,C
ERR4281387,root:B,0.79753107,C
ERR4281394,root:B,0.54430515,C
ERR4281402,root:B,0.43550974,C
ERR4281409,root:B,0.42714033,C
ERR4281416,root:B,0.43550974,C
ERR4281423,root:B,0.43550974,C
ERR4281429,root:B,0.7469799,C
ERR4281435,root:B,0.43591166,C
ERR4281439,root:B,0.7777408,C
ERR4281444,root:B,0.7750269,C
ERR4281450,root:B,0.43620676,C
ERR4281456,root:B,0.71403867,C
ERR4281462,root:B,0.43550974,C
ERR4281468,root:B,0.84773755,C
ERR4281474,root:B,0.5632526,C
ERR4281487,root:B,0.96935064,C
ERR4281495,root:B,0.43550974,C
ERR4281500,root:B,0.43550974,C
ERR4281502,root:B,0.43550974,C
ERR4281507,root:B,0.7714651,C
ERR4281513,root:B,0.43550974,C
ERR4281519,root:B,0.4355863,C
ERR4281531,root:B,0.7541141,C
ERR4281539,root:B,0.5558782,C
ERR4281543,root:B,0.5715352,C
ERR4281549,root:B,0.43551362,C
ERR4281555,root:B,0.87287664,C
ERR4281561,root:B,0.784344,C
ERR4281570,root:B,0.65266687,C
ERR4281576,root:B,0.96937156,C
ERR4281580,root:B,0.43550974,C
ERR4281585,root:B,0.43560088,C
ERR4281586,root:B,0.43550974,C
ERR4281593,root:B,0.43555495,C
ERR4281600,root:B,0.81622046,C
ERR4281605,root:B,0.8325649,C
ERR4281641,root:B,0.9596129,C
ERR4281656,root:B,0.9134532,C
ERR4281665,root:B,0.44454077,C
ERR4281671,root:B,0.7889664,C
ERR4281675,root:B,0.823214,C
ERR4281682,root:B,0.6399455,C
ERR4281692,root:B,0.4348356,C
ERR4281698,root:B,0.43912652,C
ERR4281917,root:B,0.6359416,C
ERR4282067,root:B,0.43611497,C
ERR4282523,root:B,0.43550974,C
ERR4282528,root:B,0.43550974,C
ERR4282534,root:B,0.46300638,C
ERR4282541,root:B,0.43550974,C
ERR4282550,root:B,0.43577904,C
ERR4282555,root:B,0.43552735,C
ERR4282562,root:B,0.811012,C
ERR4282611,root:B,0.43550974,C
ERR4282629,root:B,0.6089912,C
ERR4282637,root:B,0.7495533,C
ERR4282656,root:B,0.43550974,C
ERR4282681,root:B,0.5984751,C
ERR4282697,root:B,0.43604013,C
ERR4282702,root:B,0.75120986,C
ERR4282740,root:B,0.5751141,C
ERR4282764,root:B,0.43550974,C
ERR4282768,root:B,0.43550974,C
ERR4282796,root:B,0.7023869,C
ERR4282815,root:B,0.43606147,C
ERR4282845,root:B,0.43551362,C
ERR4282850,root:B,0.43584442,C
ERR4282866,root:B,0.6348744,C
ERR4282882,root:B,0.43550974,C
ERR4282955,root:B,0.4433205,C
ERR4281079,root:4M,0.5785464,V
ERR4281086,root:4M,0.5785464,V
ERR4281114,root:4M,0.5785464,V
ERR4281143,root:4M,0.5047748,V
