Unnamed: 0,Env,Contribution,mode
ERR4281390,root:B,0.09018444,C
ERR4281398,root:B,0.1276219,C
ERR4281405,root:B,0.07027561,C
ERR4281412,root:B,0.101039924,C
ERR4281419,root:B,0.056640983,C
ERR4281426,root:B,0.07438641,C
ERR4281432,root:B,0.105680645,C
ERR4281438,root:B,0.06563101,C
ERR4281447,root:B,0.05731744,C
ERR4281453,root:B,0.15401202,C
ERR4281459,root:B,0.1478014,C
ERR4281465,root:B,0.08967306,C
ERR4281471,root:B,0.07664374,C
ERR4281476,root:B,0.08159971,C
ERR4281479,root:B,0.08647673,C
ERR4281484,root:B,0.07917866,C
ERR4281494,root:B,0.17667581,C
ERR4281498,root:B,0.25962314,C
ERR4281510,root:B,0.04135403,C
ERR4281516,root:B,0.15495758,C
ERR4281526,root:B,0.22292116,C
ERR4281534,root:B,0.24334027,C
ERR4281546,root:B,0.14456576,C
ERR4281552,root:B,0.32257932,C
ERR4281564,root:B,0.12067377,C
ERR4281573,root:B,0.087783605,C
ERR4281589,root:B,0.08857946,C
ERR4281597,root:B,0.06384586,C
ERR4281608,root:B,0.056640983,C
ERR4281617,root:B,0.21978557,C
ERR4281629,root:B,0.232238,C
ERR4281634,root:B,0.08837645,C
ERR4281646,root:B,0.07021997,C
ERR4281651,root:B,0.10647828,C
ERR4281659,root:B,0.19402747,C
ERR4281685,root:B,0.09437012,C
ERR4281689,root:B,0.056640983,C
ERR4281695,root:B,0.2447198,C
ERR4281920,root:B,0.07745616,C
ERR4282087,root:B,0.07366052,C
ERR4282531,root:B,0.07120903,C
ERR4282552,root:B,0.06724975,C
ERR4282558,root:B,0.071079195,C
ERR4282610,root:B,0.2435736,C
ERR4282614,root:B,0.06918028,C
ERR4282640,root:B,0.064952604,C
ERR4282658,root:B,0.057889912,C
ERR4282684,root:B,0.086255416,C
ERR4282699,root:B,0.07758475,C
ERR4282705,root:B,0.23006673,C
ERR4282721,root:B,0.07026303,C
ERR4282747,root:B,0.09806403,C
ERR4282771,root:B,0.07037547,C
ERR4282799,root:B,0.04743548,C
ERR4282817,root:B,0.067861594,C
ERR4282848,root:B,0.076637395,C
ERR4282853,root:B,0.0688221,C
ERR4282868,root:B,0.09827085,C
ERR4282957,root:B,0.07419334,C
ERR4281051,root:12M,0.4091984,V
ERR4281134,root:12M,0.39289597,V
ERR4281155,root:12M,0.392698,V
ERR4281166,root:12M,0.39275753,V
ERR4281381,root:12M,0.39275986,V
ERR4281408,root:12M,0.3928651,V
ERR4281542,root:12M,0.39277938,V
ERR4281612,root:12M,0.3933178,V
ERR4281664,root:12M,0.7924397,V
ERR4281710,root:12M,0.39276636,V
ERR4281718,root:12M,0.2200879,V
ERR4281735,root:12M,0.3930598,V
ERR4281741,root:12M,0.82576936,V
ERR4281747,root:12M,0.3928426,V
ERR4281760,root:12M,0.3933577,V
ERR4281766,root:12M,0.39857945,V
ERR4281772,root:12M,0.39301702,V
ERR4281778,root:12M,0.008520224,V
ERR4281786,root:12M,0.39241654,V
ERR4281790,root:12M,0.8323816,V
ERR4281800,root:12M,0.8295228,V
ERR4281808,root:12M,0.39279246,V
ERR4281810,root:12M,0.38550514,V
ERR4281814,root:12M,0.39285368,V
ERR4281823,root:12M,0.39588073,V
ERR4281833,root:12M,0.031854574,V
