,root:12M:C,root:12M:V,root:3Y:C,root:3Y:V,root:4M:C,root:4M:V,root:5Y:C,root:5Y:V,root:B:C,root:B:V
ERR4282634,0.08474086,0.1421768,0.061910138,0.12793747,0.06306983,0.117198735,0.16305862,0.12085075,0.046568036,0.072488785
ERR4282635,0.15297095,0.11493165,0.049523253,0.08509805,0.13071753,0.18816376,0.049961187,0.10174256,0.06961244,0.057278663
ERR4282636,0.09044779,0.17998666,0.07783726,0.124417886,0.05355072,0.10094097,0.13317421,0.13229646,0.044621516,0.06272654
ERR4282637,0.08901438,0.21807688,0.10493082,0.1084126,0.0510547,0.07027983,0.11282282,0.14357188,0.052073967,0.04976213
ERR4282638,0.08966024,0.20906699,0.09806827,0.112397835,0.051806986,0.07685533,0.117742024,0.14128773,0.050357867,0.052756716
ERR4282639,0.061563447,0.049439896,0.05961971,0.05310836,0.33826637,0.16791075,0.030219842,0.06469996,0.13900422,0.036167458
ERR4282640,0.089477584,0.2121256,0.10032857,0.11108923,0.051544335,0.07462722,0.11606607,0.14208227,0.050910458,0.051748652
ERR4282641,0.038664088,0.05775694,0.090862155,0.05977644,0.24413835,0.06448636,0.08051975,0.11525714,0.22016889,0.028369917
ERR4282642,0.092871875,0.14789592,0.05856268,0.13255389,0.059350412,0.14101362,0.13871466,0.113808826,0.0389963,0.07623182
ERR4282643,0.089911915,0.20360999,0.09415573,0.11467106,0.052266553,0.08089009,0.12073977,0.13980466,0.049402565,0.05454767
ERR4282644,0.10952916,0.05995841,0.07571849,0.06009924,0.20072322,0.24942014,0.051090453,0.063873835,0.08025474,0.049332343
ERR4282645,0.09041814,0.19156139,0.08547371,0.11988142,0.052925546,0.090947084,0.12706064,0.13614285,0.04684442,0.058744814
ERR4282646,0.0896082,0.2100597,0.098786384,0.11198649,0.05171575,0.0761452,0.1171943,0.14154465,0.050526172,0.05243312
ERR4282647,0.14730904,0.09199913,0.06440153,0.06650376,0.17011572,0.21143132,0.047101248,0.071472764,0.073007464,0.056658078
ERR4282648,0.089592054,0.2106598,0.09918627,0.111768045,0.05164175,0.07576603,0.11684895,0.14169145,0.050593175,0.052252345
ERR4282649,0.088918015,0.15294622,0.06189944,0.1337455,0.054642554,0.1266178,0.14764574,0.121910214,0.03978741,0.07188712
ERR4282650,0.09338317,0.14616291,0.058946162,0.13220817,0.05999385,0.1423995,0.13770081,0.114056095,0.038812224,0.07633704
ERR4282651,0.15846139,0.12083506,0.055471417,0.07177364,0.16342157,0.17969993,0.037850413,0.08079066,0.074814156,0.05688182
ERR4282652,0.090255566,0.19591819,0.088595234,0.117984846,0.05273622,0.08714656,0.124818936,0.13752756,0.04781753,0.05719937
ERR4282653,0.088796206,0.1447387,0.056322515,0.13723016,0.053841405,0.13832572,0.1501657,0.11804917,0.036882296,0.07564802
ERR4282654,0.088796206,0.1447387,0.056322515,0.13723016,0.053841405,0.13832572,0.1501657,0.11804917,0.036882296,0.07564802
ERR4282655,0.15775919,0.11998076,0.055373125,0.07175124,0.1643891,0.1784226,0.038369644,0.08135343,0.075839594,0.056761347
ERR4282656,0.08883295,0.21953791,0.10621203,0.10763472,0.05099037,0.06907767,0.112057656,0.14394966,0.05247605,0.049230877
ERR4282657,0.08965424,0.20527202,0.09576194,0.11357542,0.052382365,0.07900456,0.12001348,0.14038496,0.05011718,0.053833738
ERR4282658,0.08977307,0.20682539,0.09645022,0.113330506,0.052003667,0.07848865,0.118974276,0.14069384,0.049967937,0.053492345
ERR4282659,0.08722835,0.06695458,0.06284858,0.058495574,0.28143308,0.17053859,0.03612289,0.07088496,0.122226864,0.043266628
ERR4282660,0.08885252,0.14011563,0.05875919,0.13669522,0.054616436,0.14200166,0.14926928,0.11748684,0.035070557,0.07713274
ERR4282661,0.08927273,0.14420658,0.059710152,0.13522348,0.056263536,0.1401437,0.14692153,0.114729345,0.036443587,0.077085346
ERR4282662,0.09035917,0.19311634,0.08659472,0.119191416,0.05287245,0.08954907,0.12627254,0.1366499,0.047207925,0.05818656
ERR4282663,0.089418195,0.21301688,0.10099781,0.110702306,0.05146755,0.07398109,0.11557849,0.14230897,0.051074892,0.05145387
ERR4282664,0.088578515,0.21906912,0.106526755,0.10726549,0.05135394,0.06857852,0.11250571,0.14397441,0.053013984,0.049133565
ERR4282665,0.089424334,0.21308824,0.101026975,0.11069254,0.051448986,0.07396175,0.115530595,0.14232188,0.05106471,0.051439945
ERR4282666,0.088711746,0.14792839,0.05889883,0.13527726,0.05467352,0.13215882,0.14984433,0.12000699,0.038497694,0.07400238
ERR4282667,0.08945333,0.21062371,0.09947606,0.11149944,0.05181356,0.075357325,0.11698913,0.14175573,0.05089144,0.052140247
ERR4282668,0.088665776,0.22109222,0.10751044,0.106872074,0.050879836,0.0679086,0.11121867,0.14432503,0.052833714,0.048693646
