,root:12M,root:3Y,root:4M,root:5Y,root:B,root:M
ERR4282786,0.20464724,0.22531304,0.123922296,0.1640572,0.13003065,0.15202962
ERR4282787,0.18803684,0.28266338,0.13339823,0.136427,0.11229794,0.1471767
ERR4282788,0.17783192,0.11665212,0.46200627,0.073661216,0.08710715,0.08274134
ERR4282789,0.23028778,0.23822789,0.12995338,0.13508594,0.11419377,0.15225124
ERR4282790,0.14192308,0.123472005,0.4163776,0.12304636,0.110493235,0.08468765
ERR4282791,0.21404737,0.25380936,0.13137208,0.1361754,0.1139131,0.1506827
ERR4282792,0.14999321,0.3192666,0.13288683,0.14360882,0.11333134,0.14091319
ERR4282793,0.17846425,0.115425944,0.46417862,0.07332119,0.08637264,0.08223739
ERR4282794,0.2178876,0.22620696,0.14775732,0.12858202,0.12845472,0.15111145
ERR4282795,0.25529844,0.20243621,0.12438647,0.14249568,0.12058671,0.15479654
ERR4282796,0.2316165,0.23872504,0.13020769,0.13377894,0.11344975,0.1522221
ERR4282797,0.13396794,0.32885605,0.13084343,0.15188256,0.116391905,0.13805817
ERR4282798,0.17833254,0.11567945,0.46372807,0.07339285,0.08652518,0.08234187
